name,fluence
GRB090327404,1.575487e-07
GRB090328401,7.682521e-07
GRB090328713,4.289323e-06
GRB090330279,3.55216e-07
GRB090331681,1.58898e-06
GRB090403314,1.489494e-07
GRB090405663,2.560594e-06
GRB090409288,1.972684e-07
GRB090411838,4.825543e-07
GRB090411991,4.394259e-07
GRB090412061,8.608882e-07
GRB090413122,3.069551e-07
GRB090418816,3.702507e-07
GRB090419997,1.805972e-07
GRB090422150,1.458595e-07
GRB090423330,1.728012e-07
GRB090424592,1.444755e-06
GRB090425377,4.381469e-07
GRB090426066,2.047104e-07
GRB090426690,3.980081e-07
GRB090427644,2.898635e-07
GRB090427688,1.120633e-07
GRB090428441,2.425724e-07
GRB090428552,2.645026e-07
GRB090429530,3.652847e-07
GRB090429753,1.044694e-06
GRB090502777,1.208632e-07
GRB090509215,1.897869e-07
GRB090510016,4.976942e-06
GRB090510325,4.514118e-07
GRB090511684,1.948905e-07
GRB090513916,3.701878e-07
GRB090513941,2.202589e-07
GRB090514006,1.258419e-07
GRB090514726,6.860748e-07
GRB090514734,1.744744e-07
GRB090516137,2.619984e-07
GRB090516353,1.798167e-07
GRB090516853,3.548562e-07
GRB090518080,3.626496e-07
GRB090518244,2.472739e-07
GRB090519462,2.341905e-07
GRB090519881,3.11708e-07
GRB090520832,8.392039e-07
GRB090520850,5.823285e-07
GRB090520876,2.373619e-07
GRB090522344,1.348328e-07
GRB090524346,2.914755e-07
GRB090528173,1.981677e-07
GRB090528516,5.225254e-07
GRB090529310,2.506572e-07
GRB090529564,8.031389e-07
GRB090530760,3.533034e-07
GRB090531775,1.695745e-06
GRB090602564,5.946164e-07
GRB090606471,3.157703e-07
GRB090608052,1.592154e-07
GRB090610648,9.260141e-07
GRB090610723,1.153069e-07
GRB090610883,2.072376e-07
GRB090612619,6.969575e-07
GRB090616157,6.920933e-07
GRB090617208,4.396385e-06
GRB090618353,1.739218e-06
GRB090620400,6.669495e-07
GRB090620901,6.857487e-07
GRB090621185,1.183734e-07
GRB090621417,2.541572e-07
GRB090621447,1.960505e-07
GRB090621922,3.850519e-06
GRB090623107,4.700144e-07
GRB090623913,1.16802e-07
GRB090625234,1.474399e-07
GRB090625560,2.486201e-07
GRB090626189,1.023759e-06
GRB090626707,3.230658e-07
GRB090629543,1.353111e-07
GRB090630311,2.305417e-07
GRB090701225,1.669928e-07
GRB090703329,1.799558e-07
GRB090704242,1.972966e-07
GRB090704783,2.154959e-07
GRB090706283,1.787979e-07
GRB090708152,1.083666e-07
GRB090709630,1.952564e-07
GRB090711850,3.404094e-07
GRB090712160,2.375373e-07
GRB090713020,1.461512e-07
GRB090717034,4.320042e-07
GRB090717111,8.271658e-07
GRB090718720,2.324194e-07
GRB090718762,7.296057e-07
GRB090719063,1.703588e-06
GRB090720276,4.280988e-07
GRB090720710,8.40384e-07
GRB090725838,1.741883e-07
GRB090726218,
GRB090730608,2.564486e-07
GRB090802235,4.889616e-06
GRB090802666,1.428408e-07
GRB090804940,1.019135e-06
GRB090805622,1.742987e-07
GRB090807832,2.029578e-07
GRB090809978,1.175523e-06
GRB090810659,2.059908e-07
GRB090810781,1.378016e-07
GRB090811696,4.491037e-07
GRB090813174,5.212597e-07
GRB090814368,3.347353e-06
GRB090814950,3.281905e-07
GRB090815300,8.386382e-08
GRB090815438,1.374346e-07
GRB090815946,1.085005e-07
GRB090817036,2.610671e-07
GRB090819607,2.004012e-06
